project_name,version,cve_id,download_url,source,file_size_mb,download_time
jackson-databind,2.9.10.7,CVE-2020-36179,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10.7/jackson-databind-2.9.10.7-sources.jar,maven,4.71,2025-09-30T21:24:56.707891
jackson-databind,2.9.10,CVE-2020-11620,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:25:03.568236
jackson-databind,2.9.9,CVE-2019-12384,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.9/jackson-databind-2.9.9-sources.jar,maven,4.7,2025-09-30T21:22:01.963046
jackson-databind,2.9.10,CVE-2019-20330,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:24:31.446667
jackson-databind,2.9.10.7,CVE-2020-35491,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10.7/jackson-databind-2.9.10.7-sources.jar,maven,4.71,2025-09-30T21:23:44.926464
jackson-databind,2.9.10,CVE-2019-17531,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:23:06.744430
jackson-databind,2.9.10,CVE-2020-11111,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:22:09.133484
jackson-databind,2.0.0-RC2,CVE-2020-25649,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.0.0-RC2/jackson-databind-2.0.0-RC2-sources.jar,maven,2.78,2025-09-30T21:21:07.202674
jackson-databind,2.9.10,CVE-2020-14062,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:23:13.347628
jackson-databind,2.9.10.7,CVE-2020-35490,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10.7/jackson-databind-2.9.10.7-sources.jar,maven,4.71,2025-09-30T21:22:16.893125
jackson-databind,2.9.4,CVE-2018-7489,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.4/jackson-databind-2.9.4-sources.jar,maven,4.67,2025-09-30T21:25:00.773685
jackson-databind,2.9.9,CVE-2019-14540,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.9/jackson-databind-2.9.9-sources.jar,maven,4.7,2025-09-30T21:21:30.984372
jackson-databind,2.9.4,CVE-2018-12023,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.4/jackson-databind-2.9.4-sources.jar,maven,4.67,2025-09-30T21:22:08.479809
jackson-databind,2.0.0-RC3,CVE-2018-14718,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.0.0-RC3/jackson-databind-2.0.0-RC3-sources.jar,maven,2.8,2025-09-30T21:22:39.454664
jackson-databind,2.9.10.5,CVE-2020-24616,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10.5/jackson-databind-2.9.10.5-sources.jar,maven,4.71,2025-09-30T21:24:25.295396
jackson-databind,2.0.0-RC3,CVE-2018-14720,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.0.0-RC3/jackson-databind-2.0.0-RC3-sources.jar,maven,2.8,2025-09-30T21:22:37.412216
jackson-databind,2.9.4,CVE-2018-12022,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.4/jackson-databind-2.9.4-sources.jar,maven,4.67,2025-09-30T21:23:18.779172
jackson-databind,2.9.7,CVE-2018-19362,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.7/jackson-databind-2.9.7-sources.jar,maven,4.69,2025-09-30T21:23:29.856691
jackson-databind,2.0.0-RC3,CVE-2018-14721,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.0.0-RC3/jackson-databind-2.0.0-RC3-sources.jar,maven,2.8,2025-09-30T21:23:01.946345
jackson-databind,2.0.0-RC3,CVE-2018-14719,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.0.0-RC3/jackson-databind-2.0.0-RC3-sources.jar,maven,2.8,2025-09-30T21:22:20.720680
jackson-databind,2.0.0-RC2,CVE-2020-36518,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.0.0-RC2/jackson-databind-2.0.0-RC2-sources.jar,maven,2.78,2025-09-30T21:23:32.138105
jackson-databind,2.9.10,CVE-2020-9548,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:23:31.499386
jackson-databind,2.9.10,CVE-2020-24750,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:22:32.145066
jackson-databind,2.9.10,CVE-2020-9546,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:21:32.416814
jackson-databind,2.9.10.7,CVE-2020-36188,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10.7/jackson-databind-2.9.10.7-sources.jar,maven,4.71,2025-09-30T21:24:11.915648
jackson-databind,2.9.10,CVE-2020-10969,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:24:34.646971
jackson-databind,2.9.10.7,CVE-2020-36186,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10.7/jackson-databind-2.9.10.7-sources.jar,maven,4.71,2025-09-30T21:22:18.981919
jackson-databind,2.9.10.7,CVE-2020-36181,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10.7/jackson-databind-2.9.10.7-sources.jar,maven,4.71,2025-09-30T21:21:18.324531
jackson-databind,2.9.10,CVE-2020-9547,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:25:02.907968
jackson-databind,2.9.0,CVE-2017-15095,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.0/jackson-databind-2.9.0-sources.jar,maven,4.61,2025-09-30T21:24:08.911563
jackson-databind,2.9.10.7,CVE-2020-36180,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10.7/jackson-databind-2.9.10.7-sources.jar,maven,4.71,2025-09-30T21:24:39.067606
jackson-databind,2.9.10.7,CVE-2020-36187,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10.7/jackson-databind-2.9.10.7-sources.jar,maven,4.71,2025-09-30T21:23:35.391300
jackson-databind,2.9.10.7,CVE-2020-36189,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10.7/jackson-databind-2.9.10.7-sources.jar,maven,4.71,2025-09-30T21:21:55.505068
jackson-databind,2.9.10,CVE-2020-10968,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:21:14.364212
jackson-databind,2.9.4,CVE-2018-11307,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.4/jackson-databind-2.9.4-sources.jar,maven,4.67,2025-09-30T21:21:31.673605
jackson-databind,2.9.9,CVE-2019-12814,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.9/jackson-databind-2.9.9-sources.jar,maven,4.7,2025-09-30T21:21:05.134621
jackson-databind,2.9.10,CVE-2020-14061,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:21:13.060467
jackson-databind,2.9.10.6,CVE-2021-20190,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10.6/jackson-databind-2.9.10.6-sources.jar,maven,4.71,2025-09-30T21:23:07.423068
jackson-databind,2.9.10,CVE-2020-11112,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:23:47.062602
jackson-databind,2.9.10,CVE-2020-14060,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:24:36.121845
jackson-databind,2.0.0-RC2,CVE-2019-16943,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.0.0-RC2/jackson-databind-2.0.0-RC2-sources.jar,maven,2.78,2025-09-30T21:22:02.614438
jackson-databind,2.9.9,CVE-2019-14379,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.9/jackson-databind-2.9.9-sources.jar,maven,4.7,2025-09-30T21:21:09.890240
jackson-databind,2.9.10,CVE-2020-11113,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:22:35.601727
jackson-databind,2.2.4,CVE-2020-36183,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.2.4/jackson-databind-2.2.4-sources.jar,maven,3.26,2025-09-30T21:24:06.418958
jackson-databind,2.9.9,CVE-2019-16335,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.9/jackson-databind-2.9.9-sources.jar,maven,4.7,2025-09-30T21:24:42.363522
jackson-databind,2.9.3,CVE-2017-17485,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.3/jackson-databind-2.9.3-sources.jar,maven,4.64,2025-09-30T21:24:13.066351
jackson-databind,2.9.7,CVE-2018-19360,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.7/jackson-databind-2.9.7-sources.jar,maven,4.69,2025-09-30T21:22:12.629710
jackson-databind,2.9.9,CVE-2019-14893,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.9/jackson-databind-2.9.9-sources.jar,maven,4.7,2025-09-30T21:22:21.341978
jackson-databind,2.9.8,CVE-2019-12086,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.8/jackson-databind-2.9.8-sources.jar,maven,4.7,2025-09-30T21:23:11.691083
jackson-databind,2.9.10,CVE-2020-8840,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10/jackson-databind-2.9.10-sources.jar,maven,4.7,2025-09-30T21:23:29.218062
jackson-databind,2.9.10.7,CVE-2020-35728,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.10.7/jackson-databind-2.9.10.7-sources.jar,maven,4.71,2025-09-30T21:21:54.829726
jackson-databind,2.9.9,CVE-2019-14439,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.9/jackson-databind-2.9.9-sources.jar,maven,4.7,2025-09-30T21:21:59.378030
jackson-databind,2.0.0-RC3,CVE-2019-16942,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.0.0-RC3/jackson-databind-2.0.0-RC3-sources.jar,maven,2.8,2025-09-30T21:21:38.717484
jackson-databind,2.9.9,CVE-2019-14892,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.9/jackson-databind-2.9.9-sources.jar,maven,4.7,2025-09-30T21:25:04.204067
jackson-databind,2.9.7,CVE-2018-19361,https://repo1.maven.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.9.7/jackson-databind-2.9.7-sources.jar,maven,4.69,2025-09-30T21:24:56.044884
jackson-dataformat-xml,2.8.3,CVE-2016-7051,https://repo1.maven.org/maven2/com/fasterxml/jackson/dataformat/jackson-dataformat-xml/2.8.3/jackson-dataformat-xml-2.8.3-sources.jar,maven,0.32,2025-09-30T21:21:13.767371
jackson-dataformats-binary,2.12.0,CVE-2020-28491,https://repo1.maven.org/maven2/com/fasterxml/jackson/dataformat/jackson-dataformat-cbor/2.12.0/jackson-dataformat-cbor-2.12.0-sources.jar,maven,0.27,2025-09-30T21:21:50.958736
jackson-modules-java8,2.9.6,CVE-2018-1000873,https://repo1.maven.org/maven2/com/fasterxml/jackson/module/jackson-module-parameter-names/2.9.6/jackson-module-parameter-names-2.9.6-sources.jar,maven,0.01,2025-09-30T21:25:00.186152
json-smart-v2,2.4.1,CVE-2021-31684,https://repo1.maven.org/maven2/net/minidev/json-smart/2.4.1/json-smart-2.4.1-sources.jar,maven,0.22,2025-09-30T21:24:40.725148
jsoup,1.8.1,CVE-2015-6748,https://repo1.maven.org/maven2/org/jsoup/jsoup/1.8.1/jsoup-1.8.1-sources.jar,maven,0.63,2025-09-30T21:23:03.051671
junit4,4.13,CVE-2020-15250,https://repo1.maven.org/maven2/junit/junit/4.13/junit-4.13-sources.jar,maven,0.86,2025-09-30T21:24:15.872226
libpam4j,1.8,CVE-2017-12197,https://repo1.maven.org/maven2/org/kohsuke/libpam4j/1.8/libpam4j-1.8-sources.jar,maven,0.05,2025-09-30T21:23:17.296357
logback,1.1.11,CVE-2017-5929,https://repo1.maven.org/maven2/ch/qos/logback/logback-core/1.1.11/logback-core-1.1.11-sources.jar,maven,1.3,2025-09-30T21:23:14.682655
maven-shared-utils,3.3.2,CVE-2022-29599,https://github.com/apache/maven-shared-utils/archive/refs/tags/maven-shared-utils-3.3.2.zip,github,1.2,2025-09-30T21:22:50.662333
nv-websocket-client,2.2,CVE-2017-1000209,https://repo1.maven.org/maven2/com/neovisionaries/nv-websocket-client/2.2/nv-websocket-client-2.2-sources.jar,maven,0.61,2025-09-30T21:23:15.329734
orientdb,2.1.0,CVE-2015-2913,https://repo1.maven.org/maven2/com/orientechnologies/orientdb-core/2.1.0/orientdb-core-2.1.0-sources.jar,maven,8.4,2025-09-30T21:24:35.300063
orientdb,2.1.0,CVE-2015-2912,https://repo1.maven.org/maven2/com/orientechnologies/orientdb-core/2.1.0/orientdb-core-2.1.0-sources.jar,maven,8.4,2025-09-30T21:21:15.022771
perwendel-spark,1.1.1,CVE-2018-9159,https://github.com/perwendel/spark/archive/refs/tags/1.1.1.zip,github,1.64,2025-09-30T21:22:57.281560
perwendel-spark,2.5,CVE-2016-9177,https://github.com/perwendel/spark/archive/refs/tags/2.5.zip,github,0.82,2025-09-30T21:22:48.567508
pgjdbc,42.2.5,CVE-2018-10936,https://repo1.maven.org/maven2/org/postgresql/postgresql/42.2.5/postgresql-42.2.5-sources.jar,maven,3.41,2025-09-30T21:22:36.239546
plexus-archiver,3.5,CVE-2018-1002200,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-archiver/3.5/plexus-archiver-3.5-sources.jar,maven,0.55,2025-09-30T21:24:22.679558
plexus-utils,3.0.14,CVE-2017-1000487,https://repo1.maven.org/maven2/org/codehaus/plexus/plexus-utils/3.0.14/plexus-utils-3.0.14-sources.jar,maven,1.28,2025-09-30T21:24:36.839611
qpid-broker-j,6.0.3,CVE-2016-4974,https://repo1.maven.org/maven2/org/apache/qpid/qpid-broker-core/6.0.3/qpid-broker-core-6.0.3-sources.jar,maven,4.03,2025-09-30T21:23:20.981668
qpid-broker-j,6.0.2,CVE-2016-8741,https://repo1.maven.org/maven2/org/apache/qpid/qpid-broker-core/6.0.2/qpid-broker-core-6.0.2-sources.jar,maven,4.02,2025-09-30T21:22:40.559264
qpid-broker-j,7.0.4,CVE-2018-8030,https://repo1.maven.org/maven2/org/apache/qpid/qpid-broker-core/7.0.4/qpid-broker-core-7.0.4-sources.jar,maven,5.69,2025-09-30T21:22:09.765533
rdf4j,2.4.2,CVE-2018-20227,https://repo1.maven.org/maven2/org/eclipse/rdf4j/rdf4j-model/2.4.2/rdf4j-model-2.4.2-sources.jar,maven,0.87,2025-09-30T21:21:46.284388
retrofit,2.4.0,CVE-2018-1000844,https://repo1.maven.org/maven2/com/squareup/retrofit2/retrofit/2.4.0/retrofit-2.4.0-sources.jar,maven,0.22,2025-09-30T21:23:14.077149
santuario-java,1.5.5,CVE-2013-4517,https://repo1.maven.org/maven2/org/apache/santuario/xmlsec/1.5.5/xmlsec-1.5.5-sources.jar,maven,2.5,2025-09-30T21:23:36.517731
santuario-java,2.1.3,CVE-2019-12400,https://repo1.maven.org/maven2/org/apache/santuario/xmlsec/2.1.3/xmlsec-2.1.3-sources.jar,maven,3.9,2025-09-30T21:22:32.775733
santuario-java,1.5.4,CVE-2013-2172,https://repo1.maven.org/maven2/org/apache/santuario/xmlsec/1.5.4/xmlsec-1.5.4-sources.jar,maven,2.5,2025-09-30T21:23:04.150461
snakeyaml,1.17,CVE-2017-18640,https://repo1.maven.org/maven2/org/yaml/snakeyaml/1.17/snakeyaml-1.17-sources.jar,maven,0.68,2025-09-30T21:23:34.771394
spring-data-commons,2.0.0.RELEASE,CVE-2018-1273,https://repo1.maven.org/maven2/org/springframework/data/spring-data-commons/2.0.0.RELEASE/spring-data-commons-2.0.0.RELEASE-sources.jar,maven,2.5,2025-09-30T21:21:41.244333
spring-data-commons,2.0.0.RELEASE,CVE-2018-1274,https://repo1.maven.org/maven2/org/springframework/data/spring-data-commons/2.0.0.RELEASE/spring-data-commons-2.0.0.RELEASE-sources.jar,maven,2.5,2025-09-30T21:22:38.818020
undertow,2.0.4.Final,CVE-2018-1114,https://repo1.maven.org/maven2/io/undertow/undertow-core/2.0.4.Final/undertow-core-2.0.4.Final-sources.jar,maven,5.41,2025-09-30T21:22:22.619596
undertow,1.4.7.Final,CVE-2016-9589,https://repo1.maven.org/maven2/io/undertow/undertow-core/1.4.7.Final/undertow-core-1.4.7.Final-sources.jar,maven,5.08,2025-09-30T21:24:42.989066
undertow,1.2.0.Final,CVE-2014-7816,https://repo1.maven.org/maven2/io/undertow/undertow-core/1.2.0.Final/undertow-core-1.2.0.Final-sources.jar,maven,4.63,2025-09-30T21:22:58.540934
undertow,2.0.0.Final,CVE-2017-12165,https://repo1.maven.org/maven2/io/undertow/undertow-core/2.0.0.Final/undertow-core-2.0.0.Final-sources.jar,maven,5.4,2025-09-30T21:21:05.876417
undertow,1.1.9.Final,CVE-2017-2666,https://repo1.maven.org/maven2/io/undertow/undertow-core/1.1.9.Final/undertow-core-1.1.9.Final-sources.jar,maven,3.7,2025-09-30T21:24:52.428558
undertow,2.0.0.Final,CVE-2017-7559,https://repo1.maven.org/maven2/io/undertow/undertow-core/2.0.0.Final/undertow-core-2.0.0.Final-sources.jar,maven,5.4,2025-09-30T21:24:30.790990
